,Name,Area,Furnishing,Transaction,Status,Price
61,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
62,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
63,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
64,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
65,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
66,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
67,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
68,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
69,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
70,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
71,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
72,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
73,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
74,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
75,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
76,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
77,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
78,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
79,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
80,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
81,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
82,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
83,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
84,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
85,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
86,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
87,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
88,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
89,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
90,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
91,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
92,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
93,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
94,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
95,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
96,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
97,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
98,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
99,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
100,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
101,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
102,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
103,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
104,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
105,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
106,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
107,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
108,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
109,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
110,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
111,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
112,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
113,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
114,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
115,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
116,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
117,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
118,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
119,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
120,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
121,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
122,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
123,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
124,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
125,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
126,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
127,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
128,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
129,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
130,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
131,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
132,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
133,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
134,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
135,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
136,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
137,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
138,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
139,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
140,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
141,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
142,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
143,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
144,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
145,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
146,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
147,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
148,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
149,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
150,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
151,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
152,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
153,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
154,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
155,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
156,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
157,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
158,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
159,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
160,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
161,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
162,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
163,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
164,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
165,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
166,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
167,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
168,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
169,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
170,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
171,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
172,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
173,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
174,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
175,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
176,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
177,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
178,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
179,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
180,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
181,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
182,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
183,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
184,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
185,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
186,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
187,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
188,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
189,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
190,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
191,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
192,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
193,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
194,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
195,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
196,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
197,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
198,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
199,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
200,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
201,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
202,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
203,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
204,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
205,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
206,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
207,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
208,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
209,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
210,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
211,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
212,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
213,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
214,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
215,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
216,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
217,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
218,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
219,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
220,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
221,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
222,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
223,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
224,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
225,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
226,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
227,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
228,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
229,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
230,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
231,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
232,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
233,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
234,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
235,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
236,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
